,tweet_id,favorites,retweets
705,783839966405230592,32497,12022
706,783821107061198850,7960,2188
707,783695101801398276,11289,3579
708,783466772167098368,9128,2508
709,783391753726550016,18245,6135
710,783347506784731136,0,6239
711,783334639985389568,31599,13045
712,783085703974514689,8796,2468
713,782969140009107456,26049,8180
714,782747134529531904,8060,1553
715,782722598790725632,18640,5997
716,782598640137187329,8399,2090
717,782305867769217024,18003,6183
718,782021823840026624,0,6938
719,781955203444699136,11992,3733
720,781661882474196992,11277,3002
721,781655249211752448,4321,1244
722,781524693396357120,22388,6158
723,781308096455073793,7705,2825
724,781251288990355457,9103,2332
725,781163403222056960,10536,3026
726,780931614150983680,23340,8155
727,780858289093574656,7763,2214
728,780800785462489090,5947,1443
729,780601303617732608,13032,3695
730,780543529827336192,6796,1919
731,780496263422808064,0,4124
732,780476555013349377,0,129
733,780459368902959104,5694,1181
734,780192070812196864,9395,2479
735,780092040432480260,0,2551
736,780074436359819264,13214,5548
737,779834332596887552,20517,7870
738,779377524342161408,9514,3447
739,779124354206535695,0,20400
740,779123168116150273,12733,4037
741,779056095788752897,15962,5016
742,778990705243029504,21612,8079
743,778774459159379968,0,11048
744,778764940568104960,923,406
745,778748913645780993,7441,1479
746,778650543019483137,6229,1653
747,778624900596654080,5017,1122
748,778408200802557953,14712,4827
749,778396591732486144,0,13563
750,778383385161035776,6293,1220
751,778286810187399168,11213,3673
752,778039087836069888,9149,2921
753,778027034220126208,7072,1800
754,777953400541634568,0,3898
755,777885040357281792,6851,1819
756,777684233540206592,12098,3263
757,777641927919427584,0,4707
758,777621514455814149,9454,2760
759,777189768882946048,15427,4800
760,776819012571455488,0,15208
761,776813020089548800,5256,1339
762,776477788987613185,9547,3108
763,776249906839351296,0,10146
764,776218204058357768,32351,17676
765,776201521193218049,10335,2788
766,776113305656188928,12663,4815
767,776088319444877312,1976,167
768,775898661951791106,0,17397
769,775842724423557120,12616,2967
770,775733305207554048,14904,4438
771,775729183532220416,13908,5057
772,775364825476165632,8005,3304
773,775350846108426240,10936,4334
774,775085132600442880,16730,5229
775,774757898236878852,9188,1959
776,774639387460112384,7230,1920
777,774314403806253056,23423,6181
778,773985732834758656,11561,4299
779,773922284943896577,6884,1915
780,773704687002451968,7101,1811
781,773670353721753600,5728,1434
782,773547596996571136,23737,6815
783,773336787167145985,0,5632
784,773308824254029826,24979,8249
785,773247561583001600,10125,3548
786,773191612633579521,10750,4540
787,772877495989305348,9237,4285
788,772826264096874500,8574,2567
789,772615324260794368,0,3713
790,772581559778025472,6961,1867
791,772193107915964416,6457,1527
792,772152991789019136,4063,1236
793,772117678702071809,4028,805
794,772114945936949249,2912,520
795,772102971039580160,4310,1018
796,771908950375665664,7060,2094
797,771770456517009408,12916,3750
798,771500966810099713,8891,2891
799,771380798096281600,11311,5632
800,771171053431250945,0,8346
801,771136648247640064,9887,3226
802,771102124360998913,6699,1577
803,771014301343748096,7385,1824
804,770787852854652928,5336,1351
